# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
0.165             	(2.7137184480e-08 2.7369200213e-08 0.0000000000e+00)	1.0000000000e-04
0.17              	(2.7796585730e-08 2.7896379273e-08 0.0000000000e+00)	1.0000000000e-04
0.175             	(2.8358187913e-08 2.8394182654e-08 0.0000000000e+00)	1.0000000000e-04
0.18              	(2.8826274912e-08 2.8885922574e-08 0.0000000000e+00)	1.0000000000e-04
0.185             	(2.9177884841e-08 2.9341267904e-08 0.0000000000e+00)	1.0000000000e-04
0.19              	(2.9655288915e-08 2.9776075487e-08 0.0000000000e+00)	1.0000000000e-04
0.195             	(3.0119709828e-08 3.0196270420e-08 0.0000000000e+00)	1.0000000000e-04
0.2               	(3.0588008056e-08 3.0588968930e-08 0.0000000000e+00)	1.0000000000e-04
0.205             	(3.1267760474e-08 3.0954067243e-08 0.0000000000e+00)	1.0000000000e-04
0.21              	(3.1678708838e-08 3.1287306891e-08 0.0000000000e+00)	1.0000000000e-04
0.215             	(3.1963077657e-08 3.1600996032e-08 0.0000000000e+00)	1.0000000000e-04
0.22              	(3.2216042757e-08 3.1908550551e-08 0.0000000000e+00)	1.0000000000e-04
0.225             	(3.2454868499e-08 3.2214603642e-08 0.0000000000e+00)	1.0000000000e-04
0.23              	(3.2683862750e-08 3.2488689189e-08 0.0000000000e+00)	1.0000000000e-04
0.235             	(3.2540092562e-08 3.2727736413e-08 0.0000000000e+00)	1.0000000000e-04
0.24              	(3.2504802428e-08 3.2961056208e-08 0.0000000000e+00)	1.0000000000e-04
0.245             	(3.2509865704e-08 3.3187065287e-08 0.0000000000e+00)	1.0000000000e-04
0.25              	(3.2524955365e-08 3.3405399920e-08 0.0000000000e+00)	1.0000000000e-04
0.255             	(3.2539393689e-08 3.3579940111e-08 0.0000000000e+00)	1.0000000000e-04
0.26              	(3.2533203221e-08 3.3612389301e-08 0.0000000000e+00)	1.0000000000e-04
0.265             	(3.2475301117e-08 3.3518336301e-08 0.0000000000e+00)	1.0000000000e-04
0.27              	(3.2353941595e-08 3.3365948009e-08 0.0000000000e+00)	1.0000000000e-04
0.275             	(3.2449876584e-08 3.3260164052e-08 0.0000000000e+00)	1.0000000000e-04
0.28              	(3.2731089287e-08 3.3246269936e-08 0.0000000000e+00)	1.0000000000e-04
0.285             	(3.3062903333e-08 3.3244709844e-08 0.0000000000e+00)	1.0000000000e-04
0.29              	(3.3434616439e-08 3.3284481220e-08 0.0000000000e+00)	1.0000000000e-04
0.295             	(3.3828827380e-08 3.3292322969e-08 0.0000000000e+00)	1.0000000000e-04
0.3               	(3.4229002356e-08 3.3316203245e-08 0.0000000000e+00)	1.0000000000e-04
0.305             	(3.4637349298e-08 3.3313882431e-08 0.0000000000e+00)	1.0000000000e-04
0.31              	(3.5173223478e-08 3.3352274183e-08 0.0000000000e+00)	1.0000000000e-04
0.315             	(3.5744743425e-08 3.3420179936e-08 0.0000000000e+00)	1.0000000000e-04
0.32              	(3.6256003837e-08 3.3598660932e-08 0.0000000000e+00)	1.0000000000e-04
0.325             	(3.6750881592e-08 3.3813512420e-08 0.0000000000e+00)	1.0000000000e-04
0.33              	(3.7209526601e-08 3.4041188687e-08 0.0000000000e+00)	1.0000000000e-04
0.335             	(3.7593212051e-08 3.4265974909e-08 0.0000000000e+00)	1.0000000000e-04
0.34              	(3.7959819402e-08 3.4561587434e-08 0.0000000000e+00)	1.0000000000e-04
0.345             	(3.8288322664e-08 3.4852188173e-08 0.0000000000e+00)	1.0000000000e-04
0.35              	(3.8584565105e-08 3.5125209002e-08 0.0000000000e+00)	1.0000000000e-04
0.355             	(3.8873514441e-08 3.5344392656e-08 0.0000000000e+00)	1.0000000000e-04
0.36              	(3.9114739846e-08 3.5479188256e-08 0.0000000000e+00)	1.0000000000e-04
0.365             	(3.9338993368e-08 3.5663166725e-08 0.0000000000e+00)	1.0000000000e-04
0.37              	(3.9557168077e-08 3.5845602034e-08 0.0000000000e+00)	1.0000000000e-04
0.375             	(3.9771672167e-08 3.6031850309e-08 0.0000000000e+00)	1.0000000000e-04
0.38              	(4.0007743980e-08 3.6286116335e-08 0.0000000000e+00)	1.0000000000e-04
0.385             	(4.0259986942e-08 3.6532367666e-08 0.0000000000e+00)	1.0000000000e-04
0.39              	(4.0578242466e-08 3.6776313177e-08 0.0000000000e+00)	1.0000000000e-04
0.395             	(4.0867073708e-08 3.7020230469e-08 0.0000000000e+00)	1.0000000000e-04
0.4               	(4.1103352441e-08 3.7268111708e-08 0.0000000000e+00)	1.0000000000e-04
0.405             	(4.1060409308e-08 3.7515083821e-08 0.0000000000e+00)	1.0000000000e-04
0.41              	(4.0906383896e-08 3.7751981079e-08 0.0000000000e+00)	1.0000000000e-04
0.415             	(4.0779154534e-08 3.7998640275e-08 0.0000000000e+00)	1.0000000000e-04
0.42              	(4.0665554676e-08 3.8244865844e-08 0.0000000000e+00)	1.0000000000e-04
0.425             	(4.0520105390e-08 3.8489442309e-08 0.0000000000e+00)	1.0000000000e-04
0.43              	(4.0546372382e-08 3.8745064342e-08 0.0000000000e+00)	1.0000000000e-04
0.435             	(4.0587630603e-08 3.8981647357e-08 0.0000000000e+00)	1.0000000000e-04
0.44              	(4.0636283884e-08 3.9208198912e-08 0.0000000000e+00)	1.0000000000e-04
0.445             	(4.0687275324e-08 3.9458532924e-08 0.0000000000e+00)	1.0000000000e-04
0.45              	(4.0735032866e-08 3.9676028993e-08 0.0000000000e+00)	1.0000000000e-04
0.455             	(4.0797912742e-08 3.9905149316e-08 0.0000000000e+00)	1.0000000000e-04
0.46              	(4.0790722233e-08 4.0112765669e-08 0.0000000000e+00)	1.0000000000e-04
0.465             	(4.0861947670e-08 4.0314422475e-08 0.0000000000e+00)	1.0000000000e-04
0.47              	(4.0931471086e-08 4.0496213262e-08 0.0000000000e+00)	1.0000000000e-04
0.475             	(4.0992381176e-08 4.0678522238e-08 0.0000000000e+00)	1.0000000000e-04
0.48              	(4.1070086038e-08 4.0906179670e-08 0.0000000000e+00)	1.0000000000e-04
0.485             	(4.1047824114e-08 4.1119037780e-08 0.0000000000e+00)	1.0000000000e-04
0.49              	(4.1127311629e-08 4.1330660177e-08 0.0000000000e+00)	1.0000000000e-04
0.495             	(4.1350922959e-08 4.1547855861e-08 0.0000000000e+00)	1.0000000000e-04
0.5               	(4.1623107942e-08 4.1761565664e-08 0.0000000000e+00)	1.0000000000e-04
0.505             	(4.2009670854e-08 4.1996709730e-08 0.0000000000e+00)	1.0000000000e-04
0.51              	(4.2454586417e-08 4.2215799951e-08 0.0000000000e+00)	1.0000000000e-04
0.515             	(4.2899497119e-08 4.2438011521e-08 0.0000000000e+00)	1.0000000000e-04
0.52              	(4.3443999680e-08 4.2651518721e-08 0.0000000000e+00)	1.0000000000e-04
0.525             	(4.3948569132e-08 4.2850749644e-08 0.0000000000e+00)	1.0000000000e-04
0.53              	(4.4361628105e-08 4.3042479820e-08 0.0000000000e+00)	1.0000000000e-04
0.535             	(4.4639730904e-08 4.3190302168e-08 0.0000000000e+00)	1.0000000000e-04
0.54              	(4.4840479055e-08 4.3314956615e-08 0.0000000000e+00)	1.0000000000e-04
0.545             	(4.5060667092e-08 4.3429596339e-08 0.0000000000e+00)	1.0000000000e-04
0.55              	(4.5132809984e-08 4.3509582797e-08 0.0000000000e+00)	1.0000000000e-04
0.555             	(4.5014973722e-08 4.3680720639e-08 0.0000000000e+00)	1.0000000000e-04
0.56              	(4.5031905940e-08 4.3861454602e-08 0.0000000000e+00)	1.0000000000e-04
0.565             	(4.5064776014e-08 4.4027425586e-08 0.0000000000e+00)	1.0000000000e-04
0.57              	(4.5112644827e-08 4.4196460183e-08 0.0000000000e+00)	1.0000000000e-04
0.575             	(4.5161865763e-08 4.4392065692e-08 0.0000000000e+00)	1.0000000000e-04
0.58              	(4.5242279112e-08 4.4597601320e-08 0.0000000000e+00)	1.0000000000e-04
0.585             	(4.5257975770e-08 4.4772174874e-08 0.0000000000e+00)	1.0000000000e-04
0.59              	(4.5234385527e-08 4.4932081297e-08 0.0000000000e+00)	1.0000000000e-04
0.595             	(4.5305384696e-08 4.5077569672e-08 0.0000000000e+00)	1.0000000000e-04
0.6               	(4.5376308585e-08 4.5203021178e-08 0.0000000000e+00)	1.0000000000e-04
0.605             	(4.5474195518e-08 4.5321396726e-08 0.0000000000e+00)	1.0000000000e-04
0.61              	(4.5533398124e-08 4.5398527359e-08 0.0000000000e+00)	1.0000000000e-04
0.615             	(4.5597047353e-08 4.5444127707e-08 0.0000000000e+00)	1.0000000000e-04
0.62              	(4.5663086833e-08 4.5465691821e-08 0.0000000000e+00)	1.0000000000e-04
0.625             	(4.5722269867e-08 4.5464325964e-08 0.0000000000e+00)	1.0000000000e-04
0.63              	(4.5800916390e-08 4.5453937449e-08 0.0000000000e+00)	1.0000000000e-04
0.635             	(4.5916819274e-08 4.5398460647e-08 0.0000000000e+00)	1.0000000000e-04
0.64              	(4.6067354843e-08 4.5327974826e-08 0.0000000000e+00)	1.0000000000e-04
0.645             	(4.6279316356e-08 4.5234313768e-08 0.0000000000e+00)	1.0000000000e-04
0.65              	(4.6373634199e-08 4.5117181655e-08 0.0000000000e+00)	1.0000000000e-04
0.655             	(4.6440641330e-08 4.4991950414e-08 0.0000000000e+00)	1.0000000000e-04
0.66              	(4.6152234109e-08 4.4858918484e-08 0.0000000000e+00)	1.0000000000e-04
0.665             	(4.5889861551e-08 4.4793196012e-08 0.0000000000e+00)	1.0000000000e-04
0.67              	(4.5768606502e-08 4.4783128607e-08 0.0000000000e+00)	1.0000000000e-04
0.675             	(4.5698252071e-08 4.4774700847e-08 0.0000000000e+00)	1.0000000000e-04
0.68              	(4.5704167780e-08 4.4789637151e-08 0.0000000000e+00)	1.0000000000e-04
0.685             	(4.5697517980e-08 4.4780087678e-08 0.0000000000e+00)	1.0000000000e-04
0.69              	(4.5772223873e-08 4.4751105809e-08 0.0000000000e+00)	1.0000000000e-04
0.695             	(4.5869636561e-08 4.4696984354e-08 0.0000000000e+00)	1.0000000000e-04
0.7               	(4.5830751526e-08 4.4603040703e-08 0.0000000000e+00)	1.0000000000e-04
0.705             	(4.5809217334e-08 4.4493069357e-08 0.0000000000e+00)	1.0000000000e-04
0.71              	(4.5763308140e-08 4.4338989543e-08 0.0000000000e+00)	1.0000000000e-04
0.715             	(4.5730762602e-08 4.4183664711e-08 0.0000000000e+00)	1.0000000000e-04
0.72              	(4.5686258911e-08 4.4044789101e-08 0.0000000000e+00)	1.0000000000e-04
0.725             	(4.5652757986e-08 4.3904772223e-08 0.0000000000e+00)	1.0000000000e-04
0.73              	(4.5729844671e-08 4.3909338981e-08 0.0000000000e+00)	1.0000000000e-04
0.735             	(4.5777068476e-08 4.3944579686e-08 0.0000000000e+00)	1.0000000000e-04
0.74              	(4.5828205620e-08 4.4019233411e-08 0.0000000000e+00)	1.0000000000e-04
0.745             	(4.5880266734e-08 4.4066089737e-08 0.0000000000e+00)	1.0000000000e-04
0.75              	(4.5939445146e-08 4.4095819721e-08 0.0000000000e+00)	1.0000000000e-04
0.755             	(4.6028135665e-08 4.4134074230e-08 0.0000000000e+00)	1.0000000000e-04
0.76              	(4.6089077958e-08 4.4146163020e-08 0.0000000000e+00)	1.0000000000e-04
0.765             	(4.6143668754e-08 4.4153199600e-08 0.0000000000e+00)	1.0000000000e-04
0.77              	(4.6275739588e-08 4.4158148791e-08 0.0000000000e+00)	1.0000000000e-04
0.775             	(4.6408792634e-08 4.4159257061e-08 0.0000000000e+00)	1.0000000000e-04
0.78              	(4.6430838609e-08 4.4172380862e-08 0.0000000000e+00)	1.0000000000e-04
0.785             	(4.6252568646e-08 4.4151912907e-08 0.0000000000e+00)	1.0000000000e-04
0.79              	(4.5917682405e-08 4.4158575364e-08 0.0000000000e+00)	1.0000000000e-04
0.795             	(4.5788836129e-08 4.4200022882e-08 0.0000000000e+00)	1.0000000000e-04
0.8               	(4.5676863930e-08 4.4261317212e-08 0.0000000000e+00)	1.0000000000e-04
0.805             	(4.5566547728e-08 4.4358301202e-08 0.0000000000e+00)	1.0000000000e-04
0.81              	(4.5469125325e-08 4.4443589283e-08 0.0000000000e+00)	1.0000000000e-04
0.815             	(4.5407586848e-08 4.4528481074e-08 0.0000000000e+00)	1.0000000000e-04
0.82              	(4.5351267067e-08 4.4609799874e-08 0.0000000000e+00)	1.0000000000e-04
0.825             	(4.5296707523e-08 4.4682929416e-08 0.0000000000e+00)	1.0000000000e-04
0.83              	(4.5245865723e-08 4.4768183085e-08 0.0000000000e+00)	1.0000000000e-04
0.835             	(4.5178963160e-08 4.4829337452e-08 0.0000000000e+00)	1.0000000000e-04
0.84              	(4.5204134530e-08 4.4882883570e-08 0.0000000000e+00)	1.0000000000e-04
0.845             	(4.5249111252e-08 4.4938103738e-08 0.0000000000e+00)	1.0000000000e-04
0.85              	(4.5327263930e-08 4.4990369089e-08 0.0000000000e+00)	1.0000000000e-04
0.855             	(4.5395240467e-08 4.5060870025e-08 0.0000000000e+00)	1.0000000000e-04
0.86              	(4.5373320848e-08 4.5104541868e-08 0.0000000000e+00)	1.0000000000e-04
0.865             	(4.5281955177e-08 4.5141286032e-08 0.0000000000e+00)	1.0000000000e-04
0.87              	(4.5208986898e-08 4.5174323311e-08 0.0000000000e+00)	1.0000000000e-04
0.875             	(4.5206355666e-08 4.5201177850e-08 0.0000000000e+00)	1.0000000000e-04
0.88              	(4.5229357035e-08 4.5242935679e-08 0.0000000000e+00)	1.0000000000e-04
0.885             	(4.5238374898e-08 4.5255740456e-08 0.0000000000e+00)	1.0000000000e-04
0.89              	(4.5253466477e-08 4.5268042741e-08 0.0000000000e+00)	1.0000000000e-04
0.895             	(4.5275186893e-08 4.5286340108e-08 0.0000000000e+00)	1.0000000000e-04
0.9               	(4.5297105442e-08 4.5300006136e-08 0.0000000000e+00)	1.0000000000e-04
0.905             	(4.5348310565e-08 4.5332119572e-08 0.0000000000e+00)	1.0000000000e-04
0.91              	(4.5410254228e-08 4.5337965674e-08 0.0000000000e+00)	1.0000000000e-04
0.915             	(4.5534581495e-08 4.5336429955e-08 0.0000000000e+00)	1.0000000000e-04
0.92              	(4.5575157283e-08 4.5329379241e-08 0.0000000000e+00)	1.0000000000e-04
0.925             	(4.5487035171e-08 4.5325271460e-08 0.0000000000e+00)	1.0000000000e-04
0.93              	(4.5371327023e-08 4.5345277719e-08 0.0000000000e+00)	1.0000000000e-04
0.935             	(4.5234006315e-08 4.5343736500e-08 0.0000000000e+00)	1.0000000000e-04
0.94              	(4.4939305723e-08 4.5334363903e-08 0.0000000000e+00)	1.0000000000e-04
0.945             	(4.4687033214e-08 4.5318922714e-08 0.0000000000e+00)	1.0000000000e-04
0.95              	(4.4575780096e-08 4.5296102566e-08 0.0000000000e+00)	1.0000000000e-04
0.955             	(4.4490466589e-08 4.5287739241e-08 0.0000000000e+00)	1.0000000000e-04
0.96              	(4.4430222002e-08 4.5248749902e-08 0.0000000000e+00)	1.0000000000e-04
0.965             	(4.4394351803e-08 4.5202268763e-08 0.0000000000e+00)	1.0000000000e-04
0.97              	(4.4377012599e-08 4.5163221477e-08 0.0000000000e+00)	1.0000000000e-04
0.975             	(4.4366032878e-08 4.5118673421e-08 0.0000000000e+00)	1.0000000000e-04
0.98              	(4.4366834411e-08 4.5003060719e-08 0.0000000000e+00)	1.0000000000e-04
0.985             	(4.4356861681e-08 4.4845166215e-08 0.0000000000e+00)	1.0000000000e-04
0.99              	(4.4328375654e-08 4.4697068447e-08 0.0000000000e+00)	1.0000000000e-04
0.995             	(4.4367417466e-08 4.4546752151e-08 0.0000000000e+00)	1.0000000000e-04
1                 	(4.4402638205e-08 4.4372405502e-08 0.0000000000e+00)	1.0000000000e-04
1.005             	(4.4465986365e-08 4.4277504969e-08 0.0000000000e+00)	1.0000000000e-04
1.01              	(4.4514773683e-08 4.4175754594e-08 0.0000000000e+00)	1.0000000000e-04
1.015             	(4.4546866895e-08 4.4156468704e-08 0.0000000000e+00)	1.0000000000e-04
1.02              	(4.4563896194e-08 4.4201092695e-08 0.0000000000e+00)	1.0000000000e-04
1.025             	(4.4568011360e-08 4.4302227672e-08 0.0000000000e+00)	1.0000000000e-04
1.03              	(4.4612811863e-08 4.4378689741e-08 0.0000000000e+00)	1.0000000000e-04
1.035             	(4.4636499647e-08 4.4439000919e-08 0.0000000000e+00)	1.0000000000e-04
1.04              	(4.4662810472e-08 4.4530463193e-08 0.0000000000e+00)	1.0000000000e-04
1.045             	(4.4699907377e-08 4.4612622341e-08 0.0000000000e+00)	1.0000000000e-04
1.05              	(4.4742981035e-08 4.4684963551e-08 0.0000000000e+00)	1.0000000000e-04
1.055             	(4.4800426086e-08 4.4771215100e-08 0.0000000000e+00)	1.0000000000e-04
1.06              	(4.4812123368e-08 4.4840690699e-08 0.0000000000e+00)	1.0000000000e-04
1.065             	(4.4812298782e-08 4.4901533734e-08 0.0000000000e+00)	1.0000000000e-04
1.07              	(4.4845090397e-08 4.4931719708e-08 0.0000000000e+00)	1.0000000000e-04
1.075             	(4.4864412153e-08 4.4958107659e-08 0.0000000000e+00)	1.0000000000e-04
1.08              	(4.4754038254e-08 4.5001171103e-08 0.0000000000e+00)	1.0000000000e-04
1.085             	(4.4587533201e-08 4.5023598067e-08 0.0000000000e+00)	1.0000000000e-04
1.09              	(4.4482108040e-08 4.5044279092e-08 0.0000000000e+00)	1.0000000000e-04
1.095             	(4.4388224165e-08 4.5070682268e-08 0.0000000000e+00)	1.0000000000e-04
1.1               	(4.4366801789e-08 4.5099855771e-08 0.0000000000e+00)	1.0000000000e-04
1.105             	(4.4281790882e-08 4.5148636648e-08 0.0000000000e+00)	1.0000000000e-04
1.11              	(4.4174973146e-08 4.5180994862e-08 0.0000000000e+00)	1.0000000000e-04
1.115             	(4.4089587129e-08 4.5212628840e-08 0.0000000000e+00)	1.0000000000e-04
1.12              	(4.4013474312e-08 4.5246191958e-08 0.0000000000e+00)	1.0000000000e-04
1.125             	(4.3920512304e-08 4.5280211839e-08 0.0000000000e+00)	1.0000000000e-04
1.13              	(4.3764378711e-08 4.5332889340e-08 0.0000000000e+00)	1.0000000000e-04
1.135             	(4.3735688925e-08 4.5365984518e-08 0.0000000000e+00)	1.0000000000e-04
1.14              	(4.3738928407e-08 4.5399028640e-08 0.0000000000e+00)	1.0000000000e-04
1.145             	(4.3737379733e-08 4.5440320023e-08 0.0000000000e+00)	1.0000000000e-04
1.15              	(4.3730442066e-08 4.5465399395e-08 0.0000000000e+00)	1.0000000000e-04
1.155             	(4.3719990012e-08 4.5506325731e-08 0.0000000000e+00)	1.0000000000e-04
1.16              	(4.3705969458e-08 4.5529480892e-08 0.0000000000e+00)	1.0000000000e-04
1.165             	(4.3683856519e-08 4.5550006515e-08 0.0000000000e+00)	1.0000000000e-04
1.17              	(4.3651673961e-08 4.5569762400e-08 0.0000000000e+00)	1.0000000000e-04
1.175             	(4.3657458175e-08 4.5590041995e-08 0.0000000000e+00)	1.0000000000e-04
1.18              	(4.3670738534e-08 4.5628278831e-08 0.0000000000e+00)	1.0000000000e-04
1.185             	(4.3675344215e-08 4.5654536876e-08 0.0000000000e+00)	1.0000000000e-04
1.19              	(4.3680805196e-08 4.5686717715e-08 0.0000000000e+00)	1.0000000000e-04
1.195             	(4.3687193812e-08 4.5684711934e-08 0.0000000000e+00)	1.0000000000e-04
1.2               	(4.3691461684e-08 4.5665676772e-08 0.0000000000e+00)	1.0000000000e-04
1.205             	(4.3690605124e-08 4.5656907089e-08 0.0000000000e+00)	1.0000000000e-04
1.21              	(4.3673115077e-08 4.5624102765e-08 0.0000000000e+00)	1.0000000000e-04
1.215             	(4.3691685348e-08 4.5577941391e-08 0.0000000000e+00)	1.0000000000e-04
1.22              	(4.3710473415e-08 4.5531171382e-08 0.0000000000e+00)	1.0000000000e-04
1.225             	(4.3725315949e-08 4.5468605654e-08 0.0000000000e+00)	1.0000000000e-04
1.23              	(4.3747525810e-08 4.5461133739e-08 0.0000000000e+00)	1.0000000000e-04
1.235             	(4.3757387037e-08 4.5427979590e-08 0.0000000000e+00)	1.0000000000e-04
1.24              	(4.3765093037e-08 4.5387528699e-08 0.0000000000e+00)	1.0000000000e-04
1.245             	(4.3767823994e-08 4.5343015181e-08 0.0000000000e+00)	1.0000000000e-04
1.25              	(4.3770520969e-08 4.5295152833e-08 0.0000000000e+00)	1.0000000000e-04
1.255             	(4.3791642436e-08 4.5261458757e-08 0.0000000000e+00)	1.0000000000e-04
1.26              	(4.3819164406e-08 4.5206235900e-08 0.0000000000e+00)	1.0000000000e-04
1.265             	(4.3820549583e-08 4.5140956344e-08 0.0000000000e+00)	1.0000000000e-04
1.27              	(4.3766471826e-08 4.5068547149e-08 0.0000000000e+00)	1.0000000000e-04
1.275             	(4.3760454949e-08 4.4992484185e-08 0.0000000000e+00)	1.0000000000e-04
1.28              	(4.3747739407e-08 4.4945417783e-08 0.0000000000e+00)	1.0000000000e-04
1.285             	(4.3641282438e-08 4.4876795124e-08 0.0000000000e+00)	1.0000000000e-04
1.29              	(4.3534417742e-08 4.4787844391e-08 0.0000000000e+00)	1.0000000000e-04
1.295             	(4.3411062544e-08 4.4664127312e-08 0.0000000000e+00)	1.0000000000e-04
1.3               	(4.3390120301e-08 4.4599974582e-08 0.0000000000e+00)	1.0000000000e-04
1.305             	(4.3381506131e-08 4.4555033913e-08 0.0000000000e+00)	1.0000000000e-04
1.31              	(4.3358520710e-08 4.4531425323e-08 0.0000000000e+00)	1.0000000000e-04
1.315             	(4.3323379182e-08 4.4562895002e-08 0.0000000000e+00)	1.0000000000e-04
1.32              	(4.3288167749e-08 4.4572940545e-08 0.0000000000e+00)	1.0000000000e-04
1.325             	(4.3251230442e-08 4.4563398076e-08 0.0000000000e+00)	1.0000000000e-04
1.33              	(4.3212285960e-08 4.4551218638e-08 0.0000000000e+00)	1.0000000000e-04
1.335             	(4.3125781109e-08 4.4528340976e-08 0.0000000000e+00)	1.0000000000e-04
1.34              	(4.3081513222e-08 4.4529989206e-08 0.0000000000e+00)	1.0000000000e-04
1.345             	(4.3052197031e-08 4.4576088041e-08 0.0000000000e+00)	1.0000000000e-04
1.35              	(4.3026931524e-08 4.4614647510e-08 0.0000000000e+00)	1.0000000000e-04
1.355             	(4.3009175844e-08 4.4661926175e-08 0.0000000000e+00)	1.0000000000e-04
1.36              	(4.2978994626e-08 4.4685184101e-08 0.0000000000e+00)	1.0000000000e-04
1.365             	(4.2947195029e-08 4.4699166834e-08 0.0000000000e+00)	1.0000000000e-04
1.37              	(4.2918609282e-08 4.4707123736e-08 0.0000000000e+00)	1.0000000000e-04
1.375             	(4.2890113779e-08 4.4697613732e-08 0.0000000000e+00)	1.0000000000e-04
1.38              	(4.2858802525e-08 4.4730948580e-08 0.0000000000e+00)	1.0000000000e-04
1.385             	(4.2831509089e-08 4.4743846781e-08 0.0000000000e+00)	1.0000000000e-04
1.39              	(4.2838654283e-08 4.4750381394e-08 0.0000000000e+00)	1.0000000000e-04
1.395             	(4.2824167760e-08 4.4755008861e-08 0.0000000000e+00)	1.0000000000e-04
1.4               	(4.2818768125e-08 4.4755762341e-08 0.0000000000e+00)	1.0000000000e-04
1.405             	(4.2821011894e-08 4.4771641152e-08 0.0000000000e+00)	1.0000000000e-04
1.41              	(4.2811320769e-08 4.4766742325e-08 0.0000000000e+00)	1.0000000000e-04
1.415             	(4.2798812254e-08 4.4752809945e-08 0.0000000000e+00)	1.0000000000e-04
1.42              	(4.2788601713e-08 4.4737862399e-08 0.0000000000e+00)	1.0000000000e-04
1.425             	(4.2777489047e-08 4.4719499728e-08 0.0000000000e+00)	1.0000000000e-04
1.43              	(4.2766464471e-08 4.4719298760e-08 0.0000000000e+00)	1.0000000000e-04
1.435             	(4.2734217975e-08 4.4699704208e-08 0.0000000000e+00)	1.0000000000e-04
1.44              	(4.2739677409e-08 4.4676367250e-08 0.0000000000e+00)	1.0000000000e-04
1.445             	(4.2748674328e-08 4.4663820903e-08 0.0000000000e+00)	1.0000000000e-04
1.45              	(4.2761532141e-08 4.4650776703e-08 0.0000000000e+00)	1.0000000000e-04
1.455             	(4.2778434264e-08 4.4677634139e-08 0.0000000000e+00)	1.0000000000e-04
1.46              	(4.2787614937e-08 4.4692898408e-08 0.0000000000e+00)	1.0000000000e-04
1.465             	(4.2797147185e-08 4.4703920935e-08 0.0000000000e+00)	1.0000000000e-04
1.47              	(4.2806163921e-08 4.4715968085e-08 0.0000000000e+00)	1.0000000000e-04
1.475             	(4.2814407489e-08 4.4726744442e-08 0.0000000000e+00)	1.0000000000e-04
1.48              	(4.2825450528e-08 4.4755023145e-08 0.0000000000e+00)	1.0000000000e-04
