# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.09                    	smoothSolver	3.0824200000000000e-02	5.1444100000000001e-06	3	3.0257400000000000e-02	4.2103799999999998e-06	3	false	smoothSolver	3.5280699999999999e-03	6.3115800000000001e-06	2	true	smoothSolver	3.4079199999999997e-02	4.2074599999999997e-06	3	true	GAMG	5.0484399999999999e-02	9.7734400000000000e-04	2	true
0.095                   	smoothSolver	2.8617199999999999e-02	4.9839200000000004e-06	3	2.8571400000000000e-02	4.0152799999999998e-06	3	false	smoothSolver	3.3477300000000002e-03	5.9144800000000002e-06	2	true	smoothSolver	3.1762199999999997e-02	3.9948399999999997e-06	3	true	GAMG	4.7679899999999997e-02	8.8620400000000003e-04	2	true
0.1                     	smoothSolver	2.6563699999999999e-02	4.8068600000000003e-06	3	2.7335800000000000e-02	4.0380600000000001e-06	3	false	smoothSolver	3.1759000000000002e-03	5.5505999999999998e-06	2	true	smoothSolver	2.9680200000000000e-02	3.8010900000000001e-06	3	true	GAMG	4.3396999999999998e-02	7.8892899999999995e-04	2	true
0.105                   	smoothSolver	2.4670399999999999e-02	4.5797499999999996e-06	3	2.6256700000000001e-02	4.0667399999999998e-06	3	false	smoothSolver	3.0149700000000001e-03	5.2187900000000001e-06	2	true	smoothSolver	2.7834700000000000e-02	3.6269599999999999e-06	3	true	GAMG	4.0411400000000000e-02	7.4131800000000003e-04	2	true
0.11                    	smoothSolver	2.2949700000000000e-02	4.3116600000000003e-06	3	2.5166500000000001e-02	4.0807200000000003e-06	3	false	smoothSolver	2.8639400000000001e-03	4.9143999999999999e-06	2	true	smoothSolver	2.6169200000000000e-02	3.4702100000000001e-06	3	true	GAMG	3.6453600000000003e-02	6.4471799999999996e-04	2	true
0.115                   	smoothSolver	2.1947299999999999e-02	4.1677500000000000e-06	3	2.4127200000000001e-02	4.0844100000000001e-06	3	false	smoothSolver	2.7202699999999999e-03	4.6308900000000001e-06	2	true	smoothSolver	2.4653300000000000e-02	3.3176900000000002e-06	3	true	GAMG	3.2903700000000001e-02	5.7018800000000001e-04	2	true
0.12                    	smoothSolver	2.0955900000000000e-02	4.0042900000000001e-06	3	2.3083200000000002e-02	4.0587200000000003e-06	3	false	smoothSolver	2.5858999999999999e-03	4.3698600000000000e-06	2	true	smoothSolver	2.3311200000000001e-02	3.1426700000000000e-06	3	true	GAMG	2.9232399999999999e-02	5.0099699999999999e-04	2	true
0.125                   	smoothSolver	1.9952000000000001e-02	3.8158900000000003e-06	3	2.2042500000000000e-02	4.0298099999999998e-06	3	false	smoothSolver	2.4665300000000002e-03	4.1367599999999997e-06	2	true	smoothSolver	2.2075100000000000e-02	3.0220000000000000e-06	3	true	GAMG	2.6439700000000000e-02	4.4720900000000001e-04	2	true
0.13                    	smoothSolver	1.8925899999999999e-02	3.5982600000000001e-06	3	2.0977500000000000e-02	3.9342200000000001e-06	3	false	smoothSolver	2.3502400000000000e-03	3.9180600000000004e-06	2	true	smoothSolver	2.0936799999999998e-02	2.9097200000000000e-06	3	true	GAMG	2.3582900000000000e-02	3.9380799999999999e-04	2	true
0.135                   	smoothSolver	1.7959099999999999e-02	3.3811999999999999e-06	3	1.9962199999999999e-02	3.8038700000000001e-06	3	false	smoothSolver	2.2397200000000002e-03	3.7218699999999999e-06	2	true	smoothSolver	1.9885600000000000e-02	2.8063499999999998e-06	3	true	GAMG	2.0991200000000002e-02	1.9547800000000001e-03	1	true
